ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
202169_s_at,4.88E-01,4.43E-01,8.19E-01,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
210852_s_at,1.48E-10,5.13E-12,3.19E+01,AASS,aminoadipate-semialdehyde synthase
214829_at,3.38E-10,1.33E-11,3.05E+01,AASS,aminoadipate-semialdehyde synthase
1563088_a_at,3.67E-06,6.05E-07,1.60E+01,AATBC,apoptosis associated transcript in bladder cancer
209165_at,5.73E-03,2.79E-03,6.15,AATF,apoptosis antagonizing transcription factor
205986_at,4.07E-03,1.89E-03,6.58,AATK,apoptosis associated tyrosine kinase
209459_s_at,5.75E-02,3.86E-02,3.34,ABAT,4-aminobutyrate aminotransferase
209460_at,1.25E-01,9.37E-02,2.41,ABAT,4-aminobutyrate aminotransferase
206527_at,5.75E-01,5.33E-01,6.31E-01,ABAT,4-aminobutyrate aminotransferase
1570279_at,1.19E-05,2.35E-06,1.43E+01,ABCA1,ATP binding cassette subfamily A member 1
216066_at,9.18E-03,4.79E-03,5.56,ABCA1,ATP binding cassette subfamily A member 1
203505_at,3.30E-02,2.06E-02,4,ABCA1,ATP binding cassette subfamily A member 1
203504_s_at,8.49E-02,6.03E-02,2.87,ABCA1,ATP binding cassette subfamily A member 1
220159_at,2.85E-06,4.52E-07,1.64E+01,ABCA11P,"ATP binding cassette subfamily A member 11, pseudogene"
215465_at,3.55E-01,3.08E-01,1.19,ABCA12,ATP binding cassette subfamily A member 12
1553604_at,4.75E-02,3.11E-02,3.56,ABCA13,ATP binding cassette subfamily A member 13
1553605_a_at,6.12E-02,4.15E-02,3.26,ABCA13,ATP binding cassette subfamily A member 13
1553295_at,2.43E-01,2.00E-01,1.63,ABCA13,ATP binding cassette subfamily A member 13
231164_at,2.80E-04,8.78E-05,1.00E+01,ABCA17P,"ATP binding cassette subfamily A member 17, pseudogene"
212772_s_at,2.01E-16,7.16E-19,5.83E+01,ABCA2,ATP binding cassette subfamily A member 2
210100_s_at,3.42E-11,9.49E-13,3.44E+01,ABCA2,ATP binding cassette subfamily A member 2
210099_at,4.82E-01,4.37E-01,8.33E-01,ABCA2,ATP binding cassette subfamily A member 2
204343_at,2.96E-04,9.35E-05,9.96,ABCA3,ATP binding cassette subfamily A member 3
210082_at,2.00E-01,1.60E-01,1.86,ABCA4,ATP binding cassette subfamily A member 4
1569102_at,4.91E-01,4.46E-01,8.12E-01,ABCA4,ATP binding cassette subfamily A member 4
213353_at,9.95E-12,2.24E-13,3.66E+01,ABCA5,ATP binding cassette subfamily A member 5
241705_at,1.35E-03,5.33E-04,7.99,ABCA5,ATP binding cassette subfamily A member 5
217504_at,1.95E-05,4.14E-06,1.36E+01,ABCA6,ATP binding cassette subfamily A member 6
219577_s_at,6.05E-05,1.50E-05,1.21E+01,ABCA7,ATP binding cassette subfamily A member 7
204719_at,3.10E-08,2.45E-09,2.31E+01,ABCA8,ATP binding cassette subfamily A member 8
1565778_at,1.56E-02,8.74E-03,4.91,ABCA8,ATP binding cassette subfamily A member 8
1565780_at,2.49E-01,2.06E-01,1.6,ABCA8,ATP binding cassette subfamily A member 8
239185_at,1.57E-09,7.85E-11,2.79E+01,ABCA9,ATP binding cassette subfamily A member 9
242541_at,6.35E-09,3.95E-10,2.56E+01,ABCA9,ATP binding cassette subfamily A member 9
235335_at,1.38E-08,9.66E-10,2.44E+01,ABCA9,ATP binding cassette subfamily A member 9
209993_at,1.70E-04,4.96E-05,1.07E+01,ABCB1,ATP binding cassette subfamily B member 1
243951_at,9.86E-02,7.14E-02,2.69,ABCB1,ATP binding cassette subfamily B member 1
223320_s_at,2.57E-01,2.13E-01,1.56,ABCB10,ATP binding cassette subfamily B member 10
211224_s_at,2.90E-01,2.45E-01,1.42,ABCB11,ATP binding cassette subfamily B member 11
208288_at,3.31E-01,2.84E-01,1.27,ABCB11,ATP binding cassette subfamily B member 11
207819_s_at,5.22E-02,3.46E-02,3.45,ABCB4,ATP binding cassette subfamily B member 4
1570505_at,9.65E-01,9.60E-01,4.04E-02,ABCB4,ATP binding cassette subfamily B member 4
209994_s_at,4.27E-02,2.75E-02,3.69,ABCB4///ABCB1,ATP binding cassette subfamily B member 4///ATP binding cassette subfamily B member 1
240717_at,1.34E-08,9.34E-10,2.44E+01,ABCB5,ATP binding cassette subfamily B member 5
243167_at,1.54E-03,6.19E-04,7.82,ABCB5,ATP binding cassette subfamily B member 5
1555371_at,6.85E-02,4.72E-02,3.13,ABCB5,ATP binding cassette subfamily B member 5
1569072_s_at,3.01E-01,2.55E-01,1.38,ABCB5,ATP binding cassette subfamily B member 5
203192_at,3.46E-06,5.66E-07,1.61E+01,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group)
203191_at,3.49E-01,3.02E-01,1.21,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group)
209620_s_at,1.18E-13,1.29E-15,4.50E+01,ABCB7,ATP binding cassette subfamily B member 7
229539_at,1.17E-03,4.52E-04,8.17,ABCB8,ATP binding cassette subfamily B member 8
206317_s_at,8.55E-03,4.41E-03,5.65,ABCB8,ATP binding cassette subfamily B member 8
207561_s_at,3.07E-02,1.89E-02,4.09,ABCB8///ASIC3,ATP binding cassette subfamily B member 8///acid sensing ion channel subunit 3
1555323_at,4.08E-01,3.61E-01,1.03,ABCB9,ATP binding cassette subfamily B member 9
214209_s_at,8.34E-01,8.14E-01,2.06E-01,ABCB9,ATP binding cassette subfamily B member 9
207321_s_at,9.32E-01,9.24E-01,7.94E-02,ABCB9,ATP binding cassette subfamily B member 9
202805_s_at,2.61E-03,1.14E-03,7.14,ABCC1,ATP binding cassette subfamily C member 1
202804_at,5.61E-02,3.75E-02,3.37,ABCC1,ATP binding cassette subfamily C member 1
215873_x_at,6.16E-09,3.81E-10,2.57E+01,ABCC10,ATP binding cassette subfamily C member 10
213485_s_at,2.56E-06,3.98E-07,1.65E+01,ABCC10,ATP binding cassette subfamily C member 10
1554911_at,2.14E-03,9.03E-04,7.4,ABCC11,ATP binding cassette subfamily C member 11
224146_s_at,6.38E-02,4.35E-02,3.21,ABCC11,ATP binding cassette subfamily C member 11
1552590_a_at,1.40E-04,3.95E-05,1.10E+01,ABCC12,ATP binding cassette subfamily C member 12
1553410_a_at,4.07E-01,3.61E-01,1.03,ABCC12,ATP binding cassette subfamily C member 12
1552583_s_at,1.55E-03,6.26E-04,7.8,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene)
233371_at,1.36E-02,7.48E-03,5.08,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene)
1552582_at,1.39E-02,7.67E-03,5.06,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene)
1555265_at,5.83E-02,3.93E-02,3.32,ABCC13,ATP binding cassette subfamily C member 13 (pseudogene)
206155_at,1.21E-03,4.72E-04,8.12,ABCC2,ATP binding cassette subfamily C member 2
242553_at,7.37E-07,9.51E-08,1.83E+01,ABCC3,ATP binding cassette subfamily C member 3
239217_x_at,4.53E-05,1.08E-05,1.25E+01,ABCC3,ATP binding cassette subfamily C member 3
209641_s_at,4.79E-04,1.63E-04,9.32,ABCC3,ATP binding cassette subfamily C member 3
230682_x_at,1.67E-02,9.47E-03,4.83,ABCC3,ATP binding cassette subfamily C member 3
208161_s_at,1.02E-01,7.44E-02,2.65,ABCC3,ATP binding cassette subfamily C member 3
203196_at,2.21E-09,1.17E-10,2.73E+01,ABCC4,ATP binding cassette subfamily C member 4
1554918_a_at,1.34E-06,1.89E-07,1.74E+01,ABCC4,ATP binding cassette subfamily C member 4
243928_s_at,1.73E-05,3.60E-06,1.38E+01,ABCC4,ATP binding cassette subfamily C member 4
1555039_a_at,1.44E-04,4.08E-05,1.09E+01,ABCC4,ATP binding cassette subfamily C member 4
226363_at,3.01E-04,9.56E-05,9.94,ABCC5,ATP binding cassette subfamily C member 5
1558460_at,7.03E-01,6.70E-01,4.02E-01,ABCC5,ATP binding cassette subfamily C member 5
209380_s_at,7.54E-01,7.26E-01,3.21E-01,ABCC5,ATP binding cassette subfamily C member 5
236205_at,2.12E-02,1.24E-02,4.54,ABCC6P1,ATP binding cassette subfamily C member 6 pseudogene 1
210246_s_at,2.58E-04,8.00E-05,1.01E+01,ABCC8,ATP binding cassette subfamily C member 8
210245_at,6.59E-01,6.23E-01,4.76E-01,ABCC8,ATP binding cassette subfamily C member 8
208462_s_at,2.18E-05,4.67E-06,1.35E+01,ABCC9,ATP binding cassette subfamily C member 9
208562_s_at,1.73E-04,5.05E-05,1.07E+01,ABCC9,ATP binding cassette subfamily C member 9
208561_at,5.26E-04,1.81E-04,9.2,ABCC9,ATP binding cassette subfamily C member 9
1557374_at,2.88E-03,1.27E-03,7.02,ABCC9,ATP binding cassette subfamily C member 9
235578_at,1.35E-02,7.41E-03,5.09,ABCC9,ATP binding cassette subfamily C member 9
205142_x_at,1.27E-01,9.57E-02,2.39,ABCD1,ATP binding cassette subfamily D member 1
207583_at,7.31E-01,7.00E-01,3.58E-01,ABCD2,ATP binding cassette subfamily D member 2
202850_at,2.68E-02,1.62E-02,4.25,ABCD3,ATP binding cassette subfamily D member 3
1554878_a_at,7.62E-02,5.33E-02,3,ABCD3,ATP binding cassette subfamily D member 3
203982_s_at,8.23E-01,8.02E-01,2.21E-01,ABCD4,ATP binding cassette subfamily D member 4
203981_s_at,9.14E-01,9.04E-01,1.01E-01,ABCD4,ATP binding cassette subfamily D member 4
201872_s_at,1.72E-01,1.35E-01,2.04,ABCE1,ATP binding cassette subfamily E member 1
201873_s_at,8.41E-01,8.22E-01,1.96E-01,ABCE1,ATP binding cassette subfamily E member 1
200045_at,5.80E-02,3.90E-02,3.33,ABCF1,ATP binding cassette subfamily F member 1
207623_at,3.95E-08,3.24E-09,2.28E+01,ABCF2,ATP binding cassette subfamily F member 2
209246_at,1.28E-06,1.79E-07,1.75E+01,ABCF2,ATP binding cassette subfamily F member 2
214232_at,1.82E-05,3.82E-06,1.37E+01,ABCF2,ATP binding cassette subfamily F member 2
209247_s_at,1.33E-03,5.24E-04,8,ABCF2,ATP binding cassette subfamily F member 2
207622_s_at,7.22E-02,5.01E-02,3.06,ABCF2,ATP binding cassette subfamily F member 2
202394_s_at,3.39E-01,2.92E-01,1.24,ABCF3,ATP binding cassette subfamily F member 3
232081_at,5.49E-06,9.66E-07,1.54E+01,ABCG1,ATP binding cassette subfamily G member 1
204567_s_at,9.88E-04,3.73E-04,8.38,ABCG1,ATP binding cassette subfamily G member 1
211113_s_at,3.70E-03,1.69E-03,6.7,ABCG1,ATP binding cassette subfamily G member 1
230913_at,5.60E-03,2.73E-03,6.18,ABCG1,ATP binding cassette subfamily G member 1
209735_at,3.59E-04,1.17E-04,9.7,ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group)
207593_at,1.15E-01,8.53E-02,2.51,ABCG4,ATP binding cassette subfamily G member 4
220383_at,1.80E-02,1.03E-02,4.74,ABCG5,ATP binding cassette subfamily G member 5
231751_at,4.99E-02,3.29E-02,3.51,ABCG8,ATP binding cassette subfamily G member 8
236461_at,3.93E-04,1.30E-04,9.59,ABHD1,abhydrolase domain containing 1
232550_at,1.66E-03,6.73E-04,7.72,ABHD1,abhydrolase domain containing 1
1560117_at,4.52E-02,2.94E-02,3.62,ABHD1,abhydrolase domain containing 1
222697_s_at,7.97E-08,7.24E-09,2.17E+01,ABHD10,abhydrolase domain containing 10
218633_x_at,1.20E-06,1.67E-07,1.76E+01,ABHD10,abhydrolase domain containing 10
1552800_at,7.86E-06,1.46E-06,1.49E+01,ABHD11,abhydrolase domain containing 11
1552470_a_at,2.91E-03,1.28E-03,7.01,ABHD11,abhydrolase domain containing 11
221927_s_at,9.17E-01,9.06E-01,9.86E-02,ABHD11,abhydrolase domain containing 11
228123_s_at,2.97E-05,6.66E-06,1.31E+01,ABHD12,abhydrolase domain containing 12
224742_at,1.12E-02,5.99E-03,5.32,ABHD12,abhydrolase domain containing 12
228124_at,4.00E-01,3.53E-01,1.05,ABHD12,abhydrolase domain containing 12
235348_at,1.60E-03,6.49E-04,7.76,ABHD13,abhydrolase domain containing 13
234993_at,7.43E-02,5.18E-02,3.03,ABHD13,abhydrolase domain containing 13
202740_at,3.51E-08,2.83E-09,2.29E+01,ABHD14A-ACY1///ACY1,ABHD14A-ACY1 readthrough///aminoacylase 1
210006_at,7.28E-11,2.24E-12,3.31E+01,ABHD14A///ACY1,abhydrolase domain containing 14A///aminoacylase 1
224821_at,6.92E-06,1.26E-06,1.51E+01,ABHD14B,abhydrolase domain containing 14B
226796_at,6.51E-07,8.26E-08,1.85E+01,ABHD15,abhydrolase domain containing 15
224756_s_at,1.98E-07,2.08E-08,2.03E+01,ABHD16A,abhydrolase domain containing 16A
230221_at,2.54E-01,2.10E-01,1.58,ABHD16A,abhydrolase domain containing 16A
234002_at,2.39E-01,1.96E-01,1.65,ABHD16B,abhydrolase domain containing 16B
221267_s_at,1.69E-12,2.85E-14,3.99E+01,ABHD17A,abhydrolase domain containing 17A
227551_at,2.89E-06,4.59E-07,1.63E+01,ABHD17B,abhydrolase domain containing 17B
220285_at,5.40E-06,9.47E-07,1.54E+01,ABHD17B,abhydrolase domain containing 17B
228872_at,5.20E-01,4.76E-01,7.47E-01,ABHD17B,abhydrolase domain containing 17B
225436_at,3.81E-05,8.90E-06,1.27E+01,ABHD17C,abhydrolase domain containing 17C
241968_at,1.54E-04,4.40E-05,1.08E+01,ABHD18,abhydrolase domain containing 18
219980_at,1.76E-02,1.01E-02,4.76,ABHD18,abhydrolase domain containing 18
236240_at,2.33E-02,1.38E-02,4.43,ABHD18,abhydrolase domain containing 18
87100_at,1.28E-07,1.26E-08,2.09E+01,ABHD2,abhydrolase domain containing 2
205566_at,6.97E-03,3.49E-03,5.91,ABHD2,abhydrolase domain containing 2
228490_at,2.23E-01,1.82E-01,1.73,ABHD2,abhydrolase domain containing 2
221815_at,6.90E-01,6.56E-01,4.23E-01,ABHD2,abhydrolase domain containing 2
225337_at,8.33E-01,8.13E-01,2.07E-01,ABHD2,abhydrolase domain containing 2
63825_at,9.36E-01,9.28E-01,7.50E-02,ABHD2,abhydrolase domain containing 2
213017_at,3.36E-01,2.89E-01,1.25,ABHD3,abhydrolase domain containing 3
218581_at,4.79E-05,1.15E-05,1.24E+01,ABHD4,abhydrolase domain containing 4
242023_at,3.40E-01,2.93E-01,1.24,ABHD4,abhydrolase domain containing 4
213935_at,8.61E-09,5.60E-10,2.51E+01,ABHD5,abhydrolase domain containing 5
218739_at,5.28E-03,2.55E-03,6.25,ABHD5,abhydrolase domain containing 5
232862_at,1.48E-01,1.13E-01,2.21,ABHD5,abhydrolase domain containing 5
213805_at,1.77E-01,1.40E-01,2,ABHD5,abhydrolase domain containing 5
221679_s_at,5.45E-15,3.58E-17,5.12E+01,ABHD6,abhydrolase domain containing 6
45288_at,6.39E-12,1.33E-13,3.74E+01,ABHD6,abhydrolase domain containing 6
221552_at,6.39E-11,1.93E-12,3.33E+01,ABHD6,abhydrolase domain containing 6
221678_at,3.09E-01,2.63E-01,1.35,ABHD6,abhydrolase domain containing 6
219101_x_at,1.54E-06,2.22E-07,1.72E+01,ABHD8,abhydrolase domain containing 8
209027_s_at,1.37E-04,3.87E-05,1.10E+01,ABI1,abl interactor 1
1559890_a_at,2.42E-01,1.99E-01,1.63,ABI1,abl interactor 1
209028_s_at,6.70E-01,6.35E-01,4.56E-01,ABI1,abl interactor 1
225098_at,3.46E-09,1.95E-10,2.66E+01,ABI2,abl-interactor 2
225112_at,8.72E-09,5.68E-10,2.51E+01,ABI2,abl-interactor 2
211793_s_at,5.31E-06,9.30E-07,1.55E+01,ABI2,abl-interactor 2
209856_x_at,1.88E-05,3.95E-06,1.37E+01,ABI2,abl-interactor 2
227631_at,2.83E-03,1.24E-03,7.04,ABI2,abl-interactor 2
207268_x_at,2.15E-02,1.26E-02,4.52,ABI2,abl-interactor 2
231075_x_at,5.21E-01,4.78E-01,7.43E-01,ABI2,abl-interactor 2
216113_at,8.04E-01,7.80E-01,2.48E-01,ABI2,abl-interactor 2
223615_at,9.03E-05,2.38E-05,1.16E+01,ABI3,ABI family member 3
223395_at,3.57E-07,4.11E-08,1.94E+01,ABI3BP,ABI family member 3 binding protein
220518_at,4.07E-05,9.57E-06,1.26E+01,ABI3BP,ABI family member 3 binding protein
1559077_at,2.90E-02,1.77E-02,4.16,ABI3BP,ABI family member 3 binding protein
202123_s_at,9.12E-07,1.21E-07,1.80E+01,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase"
206411_s_at,1.95E-14,1.64E-16,4.85E+01,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
226893_at,1.84E-02,1.05E-02,4.71,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
231907_at,3.56E-01,3.09E-01,1.18,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase"
210461_s_at,1.75E-07,1.80E-08,2.05E+01,ABLIM1,actin binding LIM protein 1
200965_s_at,3.29E-06,5.34E-07,1.61E+01,ABLIM1,actin binding LIM protein 1
242624_at,2.79E-12,5.07E-14,3.90E+01,ABLIM2,actin binding LIM protein family member 2
228132_at,1.40E-08,9.82E-10,2.44E+01,ABLIM2,actin binding LIM protein family member 2
236087_at,4.28E-04,1.43E-04,9.47,ABLIM2,actin binding LIM protein family member 2
1567622_at,1.66E-01,1.29E-01,2.08,ABLIM2,actin binding LIM protein family member 2
1567623_at,7.41E-01,7.11E-01,3.41E-01,ABLIM2,actin binding LIM protein family member 2
205730_s_at,1.14E-05,2.22E-06,1.44E+01,ABLIM3,actin binding LIM protein family member 3
216929_x_at,6.96E-03,3.48E-03,5.91,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
216716_at,2.98E-02,1.83E-02,4.13,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
214504_at,3.52E-02,2.21E-02,3.93,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)"
214671_s_at,1.28E-17,2.81E-20,6.46E+01,ABR,active BCR-related
212895_s_at,1.35E-10,4.63E-12,3.20E+01,ABR,active BCR-related
1564121_at,3.63E-03,1.65E-03,6.73,ABR,active BCR-related
1552732_at,1.05E-09,4.94E-11,2.86E+01,ABRA,actin binding Rho activating protein
1552731_at,9.37E-06,1.78E-06,1.47E+01,ABRA,actin binding Rho activating protein
223361_at,1.55E-04,4.43E-05,1.08E+01,ABRACL,ABRA C-terminal like
218405_at,6.54E-02,4.47E-02,3.18,ABT1,activator of basal transcription 1
229164_s_at,8.76E-05,2.30E-05,1.16E+01,ABTB1,ankyrin repeat and BTB domain containing 1
226442_at,1.53E-04,4.38E-05,1.08E+01,ABTB1,ankyrin repeat and BTB domain containing 1
228848_at,2.02E-03,8.43E-04,7.47,ABTB1,ankyrin repeat and BTB domain containing 1
229162_s_at,3.80E-03,1.74E-03,6.67,ABTB1,ankyrin repeat and BTB domain containing 1
242567_at,1.61E-02,9.08E-03,4.87,ABTB1,ankyrin repeat and BTB domain containing 1
213497_at,6.03E-08,5.28E-09,2.21E+01,ABTB2,ankyrin repeat and BTB domain containing 2
232624_at,2.39E-04,7.30E-05,1.02E+01,ABTB2,ankyrin repeat and BTB domain containing 2
202025_x_at,1.19E-02,6.42E-03,5.25,ACAA1,acetyl-CoA acyltransferase 1
214274_s_at,3.14E-01,2.68E-01,1.33,ACAA1,acetyl-CoA acyltransferase 1
241114_s_at,1.27E-02,6.92E-03,5.17,ACAA2,acetyl-CoA acyltransferase 2
202003_s_at,3.97E-02,2.53E-02,3.78,ACAA2,acetyl-CoA acyltransferase 2
202002_at,3.39E-01,2.92E-01,1.24,ACAA2,acetyl-CoA acyltransferase 2
214358_at,2.93E-02,1.79E-02,4.15,ACACA,acetyl-CoA carboxylase alpha
212186_at,3.45E-01,2.98E-01,1.22,ACACA,acetyl-CoA carboxylase alpha
49452_at,1.36E-07,1.36E-08,2.08E+01,ACACB,acetyl-CoA carboxylase beta
43427_at,1.86E-07,1.94E-08,2.04E+01,ACACB,acetyl-CoA carboxylase beta
221928_at,5.94E-07,7.44E-08,1.86E+01,ACACB,acetyl-CoA carboxylase beta
1552616_a_at,6.71E-04,2.39E-04,8.89,ACACB,acetyl-CoA carboxylase beta
1565740_at,1.11E-03,4.26E-04,8.24,ACACB,acetyl-CoA carboxylase beta
214584_x_at,1.29E-02,7.02E-03,5.15,ACACB,acetyl-CoA carboxylase beta
1552615_at,2.61E-01,2.17E-01,1.54,ACACB,acetyl-CoA carboxylase beta
237482_s_at,3.26E-14,2.99E-16,4.74E+01,ACAD10,acyl-CoA dehydrogenase family member 10
